a method for estimation of XXXXX of XXXXX is presented	['effective properties', 'porous materials']
accounting for XXXXX is essential for estimation of XXXXX	['nonlinear effects', 'effective properties']
develops the heterogeneous XXXXX for fiber-reinforced XXXXX	['feature model', 'object modeling']
two formulations for the problem of optimum XXXXX of onshore XXXXX	['layout design', 'wind farms']
boundary-value and initial-value XXXXX are solved using XXXXX and graph products	['differential equations', 'finite difference method']
boundary-value and initial-value XXXXX are solved using finite difference method and XXXXX	['differential equations', 'graph products']
boundary-value and initial-value differential equations are solved using XXXXX and XXXXX	['finite difference method', 'graph products']
an XXXXX to couple cfd and XXXXX is presented	['open-source software', 'multiobjective optimization']
parallel XXXXX for solving cfd XXXXX is implemented	['evolutionary algorithm', 'optimization problems']
a novel XXXXX platform is developed for the examination of an rfid-enabled mascs in a flexible XXXXX , and several system performance measures are considered in the XXXXX platform	['assembly line', 'simulation test']
a novel simulation test platform is developed for the examination of an rfid-enabled mascs in a flexible XXXXX , and several XXXXX are considered in the simulation test platform	['assembly line', 'system performance measures']
a novel XXXXX platform is developed for the examination of an rfid-enabled mascs in a flexible XXXXX , and several system performance measures are considered in the XXXXX platform	['assembly line', 'simulation test']
a novel XXXXX platform is developed for the examination of an rfid-enabled mascs in a flexible assembly line , and several system performance measures are considered in the XXXXX platform	['simulation test', 'simulation platform']
a novel XXXXX platform is developed for the examination of an rfid-enabled mascs in a flexible assembly line , and several XXXXX are considered in the XXXXX platform	['simulation test', 'system performance measures']
a novel XXXXX platform is developed for the examination of an rfid-enabled mascs in a flexible assembly line , and several system performance measures are considered in the XXXXX platform	['simulation test', 'simulation platform']
a novel XXXXX platform is developed for the examination of an rfid-enabled mascs in a flexible assembly line , and several system performance measures are considered in the XXXXX platform	['simulation platform', 'simulation test']
a novel XXXXX platform is developed for the examination of an rfid-enabled mascs in a flexible assembly line , and several XXXXX are considered in the XXXXX platform	['system performance measures', 'simulation test']
a novel XXXXX platform is developed for the examination of an rfid-enabled mascs in a flexible assembly line , and several system performance measures are considered in the XXXXX platform	['simulation test', 'simulation platform']
the XXXXX provides more efficient XXXXX	['information exchange', 'reduced-order model server']
XXXXX and XXXXX that make the approach practical are presented	['software design', 'implementation issues']
the XXXXX of XXXXX can be generated , which can be used for the shape design of electrodes	['cad model', 'volume feature']
the related parameters of XXXXX are extracted , which can be used for the XXXXX of electrodes and the setting of processing parameters	['parametric design', 'volume feature']
an XXXXX is proposed for XXXXX of steel space frames under lrfd-aisc provisions	['efficient algorithm', 'optimum design']
geometric nonlinear behavior of XXXXX is considered during the XXXXX	['steel frames', 'optimization process']
icde is extended to the XXXXX of XXXXX by combining icde with sora which gives a so-called the sora-icde	['truss structures', 'rbdo problem']
numerical results for five XXXXX illustrate the effectiveness of the sora-icde in solving the rbdo problem of XXXXX	['benchmark problems', 'truss structures']
numerical results for five XXXXX illustrate the effectiveness of the sora-icde in solving the XXXXX of truss structures	['benchmark problems', 'rbdo problem']
numerical results for five benchmark problems illustrate the effectiveness of the sora-icde in solving the XXXXX of XXXXX	['truss structures', 'rbdo problem']
XXXXX of the wheel is estimated using stress life ( s-n ) method based on the XXXXX of the wheel	['fatigue life', 'stress analysis']
simulations of ballistic XXXXX were performed using the validated XXXXX	['impact tests', 'fe model']
static and XXXXX of variable geometry microbeams using XXXXX	['dynamic analysis', 'energy method']
a XXXXX is proposed to handle thin-walled model with XXXXX	['hybrid method', 'complex geometry']
the XXXXX of woa is confirmed by the results on XXXXX	['multimodal functions', 'exploration ability']
this paper develops large scale marine hydrological environmental data-oriented XXXXX and realizes oceanographic planar graph , contour line rendering , isosurface rendering , factor field volume rendering and XXXXX of current field	['dynamic simulation', 'visualization software']
the system employs cuda XXXXX to improve the computation rate of XXXXX of marine water environmental factors based on netcdf ( network common data form ) format	['parallel computing', 'volume rendering']
the system employs cuda XXXXX to improve the XXXXX of volume rendering of marine water environmental factors based on netcdf ( network common data form ) format	['parallel computing', 'computation rate']
the system employs cuda parallel computing to improve the XXXXX of XXXXX of marine water environmental factors based on netcdf ( network common data form ) format	['volume rendering', 'computation rate']
nuclear XXXXX modeling generality and robustness are improved by a modular , agent based XXXXX	['modeling framework', 'fuel cycle']
paper reviews applications of XXXXX in XXXXX	['artificial neural networks', 'model calibration']
worst XXXXX oriented approach for volume fraction minimization in XXXXX with uncertain load directions and compliance constraints is considered	['topology optimization', 'load direction']
the stored data from XXXXX are replaced by continuous functions suitable for representation in XXXXX	['finite element analysis', 'computer graphics']
the approach is based on a three-dimensional XXXXX and requires a low XXXXX	['discrete element', 'computational cost']
the system is based on XXXXX and XXXXX	['artificial neural networks', 'genetic algorithm']
XXXXX for estimation of XXXXX	['soft computing methods', 'wake wind speed']
propose the method of setting basic constraints to solve the shortcomings when XXXXX and haptic feedback are both integrated in assembly tasks . the basic constraints make the XXXXX easy and realistic through the usage of haptics and visual fidelity	['physics engine', 'assembly training']
except the display and XXXXX modules , the whole XXXXX is made up of closeable widgets	['physics engine', 'training system']
XXXXX of the XXXXX to mpi-only parallelization	['performance comparison', 'hybrid parallelization']
it is advisable among dentists to perform as diverse XXXXX as possible to reduce the risk of decreased XXXXX	['work tasks', 'pinch grip strength']
delivering a first XXXXX for designing sustainable XXXXX	['frame work', 'work systems']
a XXXXX function was derived to reveal the relationship between the muscle load and the XXXXX	['subjective evaluation', 'satisfaction level']
a satisfaction level function was derived to reveal the relationship between the XXXXX and the XXXXX	['subjective evaluation', 'muscle load']
a XXXXX function was derived to reveal the relationship between the XXXXX and the subjective evaluation	['satisfaction level', 'muscle load']
evaluation of on-road XXXXX was performed using XXXXX on 12 male volunteers	['surface emg', 'bicycle design']
we formulate the relationship between perceived discomfort and joint XXXXX for the XXXXX	['upper limb', 'moment ratio']
reconfiguration reduced XXXXX and enhanced XXXXX	['error rates', 'user acceptance']
the seips model of XXXXX and XXXXX is a useful systems approach to healthcare quality and XXXXX	['work system', 'patient safety']
the seips model of XXXXX and patient safety is a useful XXXXX to healthcare quality and patient safety	['work system', 'systems approach']
the seips model of XXXXX and patient safety is a useful systems approach to XXXXX and patient safety	['work system', 'healthcare quality']
the seips model of XXXXX and XXXXX is a useful systems approach to healthcare quality and XXXXX	['work system', 'patient safety']
the seips model of work system and XXXXX is a useful XXXXX to healthcare quality and XXXXX	['patient safety', 'systems approach']
the seips model of work system and XXXXX is a useful systems approach to XXXXX and XXXXX	['patient safety', 'healthcare quality']
the seips model of work system and patient safety is a useful XXXXX to XXXXX and patient safety	['systems approach', 'healthcare quality']
the seips model of work system and XXXXX is a useful XXXXX to healthcare quality and XXXXX	['systems approach', 'patient safety']
the seips model of work system and XXXXX is a useful systems approach to XXXXX and XXXXX	['healthcare quality', 'patient safety']
the seips model can be used for research and improvement activities for improving XXXXX and XXXXX	['healthcare quality', 'patient safety']
the seips model can be used for research and XXXXX for improving XXXXX and patient safety	['healthcare quality', 'improvement activities']
the seips model can be used for research and XXXXX for improving healthcare quality and XXXXX	['patient safety', 'improvement activities']
balancing the XXXXX is a key principle to improve XXXXX and patient safety	['work system', 'healthcare quality']
balancing the XXXXX is a key principle to improve healthcare quality and XXXXX	['work system', 'patient safety']
balancing the work system is a key principle to improve XXXXX and XXXXX	['healthcare quality', 'patient safety']
an intergroup XXXXX identified distinct XXXXX of home heating that explained users reported behaviour	['case study', 'mental models']
an intergroup XXXXX identified distinct mental models of XXXXX that explained users reported behaviour	['case study', 'home heating']
an intergroup case study identified distinct XXXXX of XXXXX that explained users reported behaviour	['mental models', 'home heating']
electromyography , XXXXX , and ratings of XXXXX differentiated 3 hand-carried devices and a manual carry	['heart rate', 'perceived exertion']
guidelines for developing a method for assessing all XXXXX and all XXXXX	['work tasks', 'body parts']
wearing the XXXXX and s.c.b.a. , 14 % of all firefighters recruits failed to complete the XXXXX	['protective clothing', 'endurance test']
in a XXXXX ergonomic XXXXX are likely to be transformed , not just transferred	['design process', 'guideline texts']
XXXXX task 's ( lct ) sensitivity towards XXXXX was examined	['learning effects', 'lane change']
camouflage effectiveness was evaluated using hit rate , XXXXX , and XXXXX	['detection time', 'eye movement data']
results suggest that sa XXXXX showed some XXXXX	['common ground', 'information elements']
trapezius XXXXX and workload were assessed over full day and XXXXX in nurses	['muscle activity', 'night shifts']
during day and XXXXX , XXXXX was very high compared to resting values	['heart rate', 'night shifts']
perception of XXXXX and mental well-being at work were similar during day and XXXXX	['neck pain', 'night shifts']
XXXXX were perceived to be as burdensome as day shifts despite the smaller XXXXX	['physical workload', 'night shifts']
tested 14 universal XXXXX in the XXXXX , korea , and turkey	['united states', 'healthcare symbols']
poor health and XXXXX did not interact regarding reduced demand-specific XXXXX	['working conditions', 'work ability']
XXXXX location varies by vehicle and XXXXX	['hand placement', 'age group']
effect of XXXXX predictability on XXXXX task ( lct ) performance was tested	['lane change', 'lane task']
effect of XXXXX predictability on XXXXX task ( lct ) performance was tested	['lane change', 'lane task']
finger flexor and extensor XXXXX was lower during the virtual XXXXX	['muscle activity', 'keyboard use']
a novel approach was developed to determine the XXXXX in XXXXX	['air gap', 'protective clothing']
the XXXXX depended on the XXXXX , fabric properties , and garment size	['air gap', 'body parts']
neither system reduced core temperature , XXXXX , XXXXX or comfort	['heart rate', 'perceived exertion']
neither system reduced XXXXX , XXXXX , perceived exertion or comfort	['heart rate', 'core temperature']
neither system reduced XXXXX , heart rate , XXXXX or comfort	['perceived exertion', 'core temperature']
XXXXX in and around the firehouse may increase XXXXX	['physical activity', 'body temperature']
a list of XXXXX that influenced trust was derived from XXXXX	['qualitative analysis', 'system features']
parents and XXXXX members who reviewed video records of their bedside rounds participated in the analysis of XXXXX and facilitators in family-centered rounds	['healthcare team', 'work system barriers']
the stimulated XXXXX was positively received by parents and XXXXX members	['recall methodology', 'healthcare team']
the stimulated XXXXX allowed the identification of a wide range of XXXXX and facilitators in family-centered rounds	['recall methodology', 'work system barriers']
XXXXX significantly lower on XXXXX due to decreased performance	['muscle activity', 'slate computer']
a toolkit approach is proposed to improve XXXXX of wmsds in XXXXX	['risk management', 'health care']
four different types of insoles were examined in terms of their effects on XXXXX in XXXXX	['postural stability', 'older adults']
the findings can aid in better understanding the insole XXXXX that could improve XXXXX in older adults	['design features', 'postural stability']
the findings can aid in better understanding the insole XXXXX that could improve postural stability in XXXXX	['design features', 'older adults']
the findings can aid in better understanding the insole design features that could improve XXXXX in XXXXX	['postural stability', 'older adults']
the effect of electric XXXXX on human heat balance during XXXXX was modelled	['fan use', 'heat waves']
we performed XXXXX of assembly training for automotive XXXXX	['user studies', 'assembly lines']
we performed XXXXX of XXXXX for automotive assembly lines	['user studies', 'assembly training']
we performed user studies of XXXXX for automotive XXXXX	['assembly lines', 'assembly training']
the study describes a longitudinal qualitative XXXXX examining efforts to improve behavioural XXXXX over a two- year period	['case study', 'energy efficiency']
an association between prolonged XXXXX and XXXXX was found among women	['arm elevation', 'shoulder pain']
XXXXX increases carpal XXXXX in patients with carpal tunnel syndrome	['computer use', 'tunnel pressure']
XXXXX times for XXXXX are slightly higher than for guide signs	['visual processing', 'logo signs']
increased XXXXX times for XXXXX do not result in any vehicle control degradation	['visual processing', 'logo signs']
patients ' and informal caregivers ' XXXXX was shaped by XXXXX	['work performance', 'system factors']
the XXXXX of the XXXXX has been calculated	['human error probability', 'case system']
some strategies to prevent latent XXXXX of the XXXXX have been proposed	['human errors', 'case system']
presentation of a personal XXXXX ( pcs ) XXXXX	['cooling system', 'selection method']
the new XXXXX was superior to the current XXXXX in XXXXX and satisfaction score	['error rate', 'touch method']
the new XXXXX was superior to the current XXXXX in XXXXX and satisfaction score	['error rate', 'touch method']
XXXXX for the XXXXX have the least effect on the prediction	['measurement errors', 'arc length']
XXXXX of sports t-shirt increases wearer 's XXXXX	['thermal comfort', 'ventilation design']
an XXXXX on the human XXXXX inside the aircrafts was carried out	['experimental investigation', 'thermal comfort']
appropriate ud XXXXX are varied on XXXXX	['evaluation scales', 'product attributes']
written XXXXX resulted in more accurate XXXXX than spoken channels	['communication channels', 'message transmission']
high XXXXX forces and plantar pressures are observed during XXXXX at high gait cadences	['load carriage', 'ground reaction']
the metabolic XXXXX was found to have a basic impact on the XXXXX	['heat generation', 'temperature profile']
XXXXX was quantified and examined in relation to XXXXX	['physical workload', 'strength capacities']
XXXXX , XXXXX , trunk motion , and perceived exertion data were collected	['surface emg', 'heart rate']
we present a practical approach based on XXXXX to estimate XXXXX using heart rate monitoring	['neuro-fuzzy systems', 'energy expenditure']
XXXXX texting requires less XXXXX than a physical keypad	['touch screen', 'muscle activity']
XXXXX demonstrates a more dynamic spine than XXXXX	['keyboard use', 'mouse use']
speech-based agents enhanced driver XXXXX and XXXXX	['situation awareness', 'driving performance']
a driver 's XXXXX mediated anger effects on XXXXX	['situation awareness', 'driving performance']
we assess footwear XXXXX on ice by the maximum XXXXX subjects could stand and walk	['slip resistance', 'slope angles']
the maximum XXXXX were objective and ecologically valid measures of XXXXX	['slip resistance', 'slope angles']
this human-centred measure of XXXXX did not require controlling of individuals ' XXXXX	['slip resistance', 'gait characteristics']
we conducted a XXXXX experiment under real XXXXX	['lane change', 'road environment']
XXXXX intent XXXXX is about 5 s	['lane changing', 'time window']
vehicle motion states , driving conditions and XXXXX information were chosen to predict XXXXX behaviours	['lane changing', 'head movements']
the improved XXXXX detects 85 % of XXXXX 1.5 s in advance	['neural network', 'lane changes']
XXXXX that enriches how physicians view XXXXX	['web-based training', 'diagnosis delivery']
XXXXX provides XXXXX during blindfolded water pouring	['motion capture', 'auditory feedback']
XXXXX and XXXXX are provided based on these results	['system improvement', 'design recommendations']
we propose a novel hybrid XXXXX able to handle XXXXX sizes	['small sample', 'regression method']
outlines role of XXXXX in sustainability , and the role of XXXXX in these systems	['cyber-physical systems', 'systems ergonomics']
we examine XXXXX as a mediator in the relationships between job characteristics and XXXXX	['job engagement', 'safety performance']
job resources had positive effects on XXXXX directly and indirectly through XXXXX	['safety performance', 'job engagement']
XXXXX can translate into better XXXXX	['employee engagement', 'safety performance']
XXXXX of XXXXX defined	['objective measures', 'tool use']
XXXXX for site-specific schoolbag-related XXXXX were identified	['risk factors', 'musculoskeletal discomfort']
we examine the influence of XXXXX and driving experience on subjective workload and XXXXX	['driving performance', 'situation complexity']
we used XXXXX to analyse rail XXXXX	['cognitive work analysis', 'level crossings']
effects of individual and XXXXX on XXXXX were investigated	['grip strength', 'job factors']
opportunities exist to optimise XXXXX using XXXXX	['virtual reality', 'vehicle development']
the XXXXX reduced seat back XXXXX at the low back	['thoracic support', 'contact pressure area']
XXXXX played a leading causal role in clinical incidents , with XXXXX varying by type of action	['human error', 'error type']
